track_id,label,action,date,time
3,person ID: 3,OUT,2025-02-06,18:56:40
2,person ID: 2,OUT,2025-02-06,18:56:40
9,person ID: 9,OUT,2025-02-06,18:56:40
22,person ID: 22,IN,2025-02-06,18:56:41
30,person ID: 30,IN,2025-02-06,18:56:42
41,person ID: 41,IN,2025-02-06,18:56:42
50,person ID: 50,IN,2025-02-06,18:56:43
77,person ID: 77,IN,2025-02-06,18:56:43
51,person ID: 51,IN,2025-02-06,18:56:43
88,person ID: 88,IN,2025-02-06,18:56:44
105,person ID: 105,IN,2025-02-06,18:56:45
122,person ID: 122,IN,2025-02-06,18:56:45
139,person ID: 139,IN,2025-02-06,18:56:46
130,person ID: 130,IN,2025-02-06,18:56:46
182,person ID: 182,IN,2025-02-06,18:56:47
159,person ID: 159,IN,2025-02-06,18:56:49
3,person ID: 3,OUT,2025-02-06,18:58:27
2,person ID: 2,OUT,2025-02-06,18:58:27
9,person ID: 9,OUT,2025-02-06,18:58:28
22,person ID: 22,IN,2025-02-06,18:58:28
30,person ID: 30,IN,2025-02-06,18:58:29
41,person ID: 41,IN,2025-02-06,18:58:29
50,person ID: 50,IN,2025-02-06,18:58:30
77,person ID: 77,IN,2025-02-06,18:58:30
51,person ID: 51,IN,2025-02-06,18:58:31
88,person ID: 88,IN,2025-02-06,18:58:31
105,person ID: 105,IN,2025-02-06,18:58:32
122,person ID: 122,IN,2025-02-06,18:58:33
139,person ID: 139,IN,2025-02-06,18:58:33
130,person ID: 130,IN,2025-02-06,18:58:34
182,person ID: 182,IN,2025-02-06,18:58:34
159,person ID: 159,IN,2025-02-06,18:58:37
3,person ID: 3,OUT,2025-02-06,18:59:09
2,person ID: 2,OUT,2025-02-06,18:59:09
9,person ID: 9,OUT,2025-02-06,18:59:10
22,person ID: 22,IN,2025-02-06,18:59:10
30,person ID: 30,IN,2025-02-06,18:59:11
41,person ID: 41,IN,2025-02-06,18:59:11
50,person ID: 50,IN,2025-02-06,18:59:12
77,person ID: 77,IN,2025-02-06,18:59:12
51,person ID: 51,IN,2025-02-06,18:59:13
88,person ID: 88,IN,2025-02-06,18:59:13
105,person ID: 105,IN,2025-02-06,18:59:14
122,person ID: 122,IN,2025-02-06,18:59:15
139,person ID: 139,IN,2025-02-06,18:59:15
130,person ID: 130,IN,2025-02-06,18:59:16
182,person ID: 182,IN,2025-02-06,18:59:16
159,person ID: 159,IN,2025-02-06,18:59:19
3,person ID: 3,OUT,2025-02-06,19:04:36
2,person ID: 2,OUT,2025-02-06,19:04:37
9,person ID: 9,OUT,2025-02-06,19:04:37
22,person ID: 22,IN,2025-02-06,19:04:37
30,person ID: 30,IN,2025-02-06,19:04:38
41,person ID: 41,IN,2025-02-06,19:04:39
50,person ID: 50,IN,2025-02-06,19:04:40
77,person ID: 77,IN,2025-02-06,19:04:40
51,person ID: 51,IN,2025-02-06,19:04:40
88,person ID: 88,IN,2025-02-06,19:04:41
105,person ID: 105,IN,2025-02-06,19:04:42
122,person ID: 122,IN,2025-02-06,19:04:42
139,person ID: 139,IN,2025-02-06,19:04:43
130,person ID: 130,IN,2025-02-06,19:04:43
182,person ID: 182,IN,2025-02-06,19:04:44
159,person ID: 159,IN,2025-02-06,19:04:46
3,person ID: 3,OUT,2025-02-06,19:07:51
2,person ID: 2,OUT,2025-02-06,19:07:51
9,person ID: 9,OUT,2025-02-06,19:07:51
22,person ID: 22,IN,2025-02-06,19:07:51
30,person ID: 30,IN,2025-02-06,19:07:52
41,person ID: 41,IN,2025-02-06,19:07:53
50,person ID: 50,IN,2025-02-06,19:07:54
77,person ID: 77,IN,2025-02-06,19:07:54
51,person ID: 51,IN,2025-02-06,19:07:54
88,person ID: 88,IN,2025-02-06,19:07:55
105,person ID: 105,IN,2025-02-06,19:07:56
122,person ID: 122,IN,2025-02-06,19:07:56
139,person ID: 139,IN,2025-02-06,19:07:57
130,person ID: 130,IN,2025-02-06,19:07:57
182,person ID: 182,IN,2025-02-06,19:07:58
159,person ID: 159,IN,2025-02-06,19:08:00
3,person ID: 3,OUT,2025-02-06,19:33:20
3,person ID: 3,OUT,2025-02-06,19:34:48
3,person ID: 3,OUT,2025-02-06,19:36:45
2,person ID: 2,OUT,2025-02-06,19:36:46
9,person ID: 9,OUT,2025-02-06,19:36:46
22,person ID: 22,IN,2025-02-06,19:36:46
30,person ID: 30,IN,2025-02-06,19:36:47
41,person ID: 41,IN,2025-02-06,19:36:47
50,person ID: 50,IN,2025-02-06,19:36:48
77,person ID: 77,IN,2025-02-06,19:36:48
51,person ID: 51,IN,2025-02-06,19:36:49
88,person ID: 88,IN,2025-02-06,19:36:49
105,person ID: 105,IN,2025-02-06,19:36:50
122,person ID: 122,IN,2025-02-06,19:36:51
139,person ID: 139,IN,2025-02-06,19:36:51
130,person ID: 130,IN,2025-02-06,19:36:52
182,person ID: 182,IN,2025-02-06,19:36:52
159,person ID: 159,IN,2025-02-06,19:36:54
3,person ID: 3,OUT,2025-02-06,19:42:35
